Comment,Sentiment,tokens,filtered_tokens,processed_text
கல் உப்பு வைத்தால் கடன் அடையும் சொல்லுதாங்க பூஜா ரூம் கல் மண் சட்டி வைக்கலாமா,-1,"['கல்', 'உப்பு', 'வைத்தால்', 'கடன்', 'அடையும்', 'சொல்லுதாங்க', 'பூஜா', 'ரூம்', 'கல்', 'மண்', 'சட்டி', 'வைக்கலாமா']","['கல்', 'உப்பு', 'வைத்தால்', 'கடன்', 'அடையும்', 'சொல்லுதாங்க', 'பூஜா', 'ரூம்', 'கல்', 'மண்', 'சட்டி', 'வைக்கலாமா']",கல் உப்பு வைத்தால் கடன் அடையும் சொல்லுதாங்க பூஜா ரூம் கல் மண் சட்டி வைக்கலாமா
எங்க அப்பா அம்மா நிறைய அமங்கள வார்த்தைகள் தான் பேசுறாங்க இப்போ எங்க வீட்டில் நிம்மதி இல்லை எவ்வளவு தான் கடவுளை கும்பிட்டலும் கஷ்டம் தான் இப்போ நானும் கோலத்தில் சில வார்த்தைகள் வருகிறது,-1,"['எங்க', 'அப்பா', 'அம்மா', 'நிறைய', 'அமங்கள', 'வார்த்தைகள்', 'தான்', 'பேசுறாங்க', 'இப்போ', 'எங்க', 'வீட்டில்', 'நிம்மதி', 'இல்லை', 'எவ்வளவு', 'தான்', 'கடவுளை', 'கும்பிட்டலும்', 'கஷ்டம்', 'தான்', 'இப்போ', 'நானும்', 'கோலத்தில்', 'சில', 'வார்த்தைகள்', 'வருகிறது']","['எங்க', 'அப்பா', 'அம்மா', 'நிறைய', 'அமங்கள', 'வார்த்தைகள்', 'தான்', 'பேசுறாங்க', 'இப்போ', 'எங்க', 'வீட்டில்', 'நிம்மதி', 'எவ்வளவு', 'தான்', 'கடவுளை', 'கும்பிட்டலும்', 'கஷ்டம்', 'தான்', 'இப்போ', 'நானும்', 'கோலத்தில்', 'சில', 'வார்த்தைகள்', 'வருகிறது']",எங்க அப்பா அம்மா நிறைய அமங்கள வார்த்தைகள் தான் பேசுறாங்க இப்போ எங்க வீட்டில் நிம்மதி எவ்வளவு தான் கடவுளை கும்பிட்டலும் கஷ்டம் தான் இப்போ நானும் கோலத்தில் சில வார்த்தைகள் வருகிறது
என் அன்பு சகோதரிக்கு ரொம்ப நன்றி,1,"['என்', 'அன்பு', 'சகோதரிக்கு', 'ரொம்ப', 'நன்றி']","['அன்பு', 'சகோதரிக்கு', 'ரொம்ப', 'நன்றி']",அன்பு சகோதரிக்கு ரொம்ப நன்றி
அடியேணின் பணிவான வணக்கம் அம்மா அம்மா தாங்கள் சொல்லியபடி முடிந்தவரை பூஜை செய்து வழிபாடு செய்துவகிறேன் அம்மா குரு மிக நண்றி அம்மா,1,"['அடியேணின்', 'பணிவான', 'வணக்கம்', 'அம்மா', 'அம்மா', 'தாங்கள்', 'சொல்லியபடி', 'முடிந்தவரை', 'பூஜை', 'செய்து', 'வழிபாடு', 'செய்துவகிறேன்', 'அம்மா', 'குரு', 'மிக', 'நண்றி', 'அம்மா']","['அடியேணின்', 'பணிவான', 'வணக்கம்', 'அம்மா', 'அம்மா', 'தாங்கள்', 'சொல்லியபடி', 'முடிந்தவரை', 'பூஜை', 'செய்து', 'வழிபாடு', 'செய்துவகிறேன்', 'அம்மா', 'குரு', 'மிக', 'நண்றி', 'அம்மா']",அடியேணின் பணிவான வணக்கம் அம்மா அம்மா தாங்கள் சொல்லியபடி முடிந்தவரை பூஜை செய்து வழிபாடு செய்துவகிறேன் அம்மா குரு மிக நண்றி அம்மா
மிக்க மகிழ்ச்சி நன்றி அம்மா,1,"['மிக்க', 'மகிழ்ச்சி', 'நன்றி', 'அம்மா']","['மிக்க', 'மகிழ்ச்சி', 'நன்றி', 'அம்மா']",மிக்க மகிழ்ச்சி நன்றி அம்மா
நாங்கள் வாடகை வீட்டில் இருக்கோம் மேற்கு பார்த்த பூஜை அறை சாமி படம் மேற்கு பார்த்து வைத்துள்ளேன் ஆனால் விளக்கு ஏற்றுவது எந்த திசையில் ஏற்றவேண்டும்,0,"['நாங்கள்', 'வாடகை', 'வீட்டில்', 'இருக்கோம்', 'மேற்கு', 'பார்த்த', 'பூஜை', 'அறை', 'சாமி', 'படம்', 'மேற்கு', 'பார்த்து', 'வைத்துள்ளேன்', 'ஆனால்', 'விளக்கு', 'ஏற்றுவது', 'எந்த', 'திசையில்', 'ஏற்றவேண்டும்']","['நாங்கள்', 'வாடகை', 'வீட்டில்', 'இருக்கோம்', 'மேற்கு', 'பார்த்த', 'பூஜை', 'அறை', 'சாமி', 'படம்', 'மேற்கு', 'பார்த்து', 'வைத்துள்ளேன்', 'ஆனால்', 'விளக்கு', 'ஏற்றுவது', 'எந்த', 'திசையில்', 'ஏற்றவேண்டும்']",நாங்கள் வாடகை வீட்டில் இருக்கோம் மேற்கு பார்த்த பூஜை அறை சாமி படம் மேற்கு பார்த்து வைத்துள்ளேன் ஆனால் விளக்கு ஏற்றுவது எந்த திசையில் ஏற்றவேண்டும்
மந்திர சக்தி வாய்ந்த பக்தி பாடல் வேண்டும்,1,"['மந்திர', 'சக்தி', 'வாய்ந்த', 'பக்தி', 'பாடல்', 'வேண்டும்']","['மந்திர', 'சக்தி', 'வாய்ந்த', 'பக்தி', 'பாடல்', 'வேண்டும்']",மந்திர சக்தி வாய்ந்த பக்தி பாடல் வேண்டும்
ஒளி வர விளக்கு தினமும் ஏற்ற வேண்டும்,1,"['ஒளி', 'வர', 'விளக்கு', 'தினமும்', 'ஏற்ற', 'வேண்டும்']","['ஒளி', 'வர', 'விளக்கு', 'தினமும்', 'ஏற்ற', 'வேண்டும்']",ஒளி வர விளக்கு தினமும் ஏற்ற வேண்டும்
நைவேத்தியம் ஏற்ற வேண்டும்,0,"['நைவேத்தியம்', 'ஏற்ற', 'வேண்டும்']","['நைவேத்தியம்', 'ஏற்ற', 'வேண்டும்']",நைவேத்தியம் ஏற்ற வேண்டும்
அம்முணி அல்ல அம்மிணி என்பதுதான் சரியான சொல்,0,"['அம்முணி', 'அல்ல', 'அம்மிணி', 'என்பதுதான்', 'சரியான', 'சொல்']","['அம்முணி', 'அல்ல', 'அம்மிணி', 'என்பதுதான்', 'சரியான', 'சொல்']",அம்முணி அல்ல அம்மிணி என்பதுதான் சரியான சொல்
செம்ம படிப்பு திருட்டு பய கொசு,0,"['செம்ம', 'படிப்பு', 'திருட்டு', 'பய', 'கொசு']","['செம்ம', 'படிப்பு', 'திருட்டு', 'பய', 'கொசு']",செம்ம படிப்பு திருட்டு பய கொசு
அம்மணி பேசல பார்த்த காடை கூட்டமா இருக்கும்,0,"['அம்மணி', 'பேசல', 'பார்த்த', 'காடை', 'கூட்டமா', 'இருக்கும்']","['அம்மணி', 'பேசல', 'பார்த்த', 'காடை', 'கூட்டமா', 'இருக்கும்']",அம்மணி பேசல பார்த்த காடை கூட்டமா இருக்கும்
சூப்பர் வாழ்த்துக்கள்,1,"['சூப்பர்', 'வாழ்த்துக்கள்']","['சூப்பர்', 'வாழ்த்துக்கள்']",சூப்பர் வாழ்த்துக்கள்
அம்மனி எப்படிரிக்கிங்கோ,-1,"['அம்மனி', 'எப்படிரிக்கிங்கோ']","['அம்மனி', 'எப்படிரிக்கிங்கோ']",அம்மனி எப்படிரிக்கிங்கோ
புல்லைனு,1,['புல்லைனு'],['புல்லைனு'],புல்லைனு
கட்டனும்,1,['கட்டனும்'],['கட்டனும்'],கட்டனும்
அழகு பேரரசி அழகான பேச்சு,1,"['அழகு', 'பேரரசி', 'அழகான', 'பேச்சு']","['அழகு', 'பேரரசி', 'அழகான', 'பேச்சு']",அழகு பேரரசி அழகான பேச்சு
அம்மினி அற்புதம்,1,"['அம்மினி', 'அற்புதம்']","['அம்மினி', 'அற்புதம்']",அம்மினி அற்புதம்
நம்தலைமுறைதாண்டியும்நம்பிள்ளைகளும்பாரம்பரியமொழிகாக்கட்டும்,-1,['நம்தலைமுறைதாண்டியும்நம்பிள்ளைகளும்பாரம்பரியமொழிகாக்கட்டும்'],['நம்தலைமுறைதாண்டியும்நம்பிள்ளைகளும்பாரம்பரியமொழிகாக்கட்டும்'],நம்தலைமுறைதாண்டியும்நம்பிள்ளைகளும்பாரம்பரியமொழிகாக்கட்டும்
கொங்கு தமிழ் மிக இனிமைவாழ்க வளர்க நின் பணி தொடர்க,1,"['கொங்கு', 'தமிழ்', 'மிக', 'இனிமைவாழ்க', 'வளர்க', 'நின்', 'பணி', 'தொடர்க']","['கொங்கு', 'தமிழ்', 'மிக', 'இனிமைவாழ்க', 'வளர்க', 'நின்', 'பணி', 'தொடர்க']",கொங்கு தமிழ் மிக இனிமைவாழ்க வளர்க நின் பணி தொடர்க
கொங்கு நாட்டில் சிங்க பெண்ணே,-1,"['கொங்கு', 'நாட்டில்', 'சிங்க', 'பெண்ணே']","['கொங்கு', 'நாட்டில்', 'சிங்க', 'பெண்ணே']",கொங்கு நாட்டில் சிங்க பெண்ணே
நாங்கள் குண்டடம் பகுதியில் காற்றாலை அமைக்கும் கிரேன்ல வேலை பார்க்கும் போது இஸ்வரிசெட்டிபாளையம் ஊரில் போடும் போது அங்கு இரண்டு குழந்தைகள் திவ்வி ஹேமானு இரண்டு குழந்தைகள் இந்த அம்னி போலவே கொங்கு தமிழ் ல போசுங்கள் ஞாபகம் வருகிறது,1,"['நாங்கள்', 'குண்டடம்', 'பகுதியில்', 'காற்றாலை', 'அமைக்கும்', 'கிரேன்ல', 'வேலை', 'பார்க்கும்', 'போது', 'இஸ்வரிசெட்டிபாளையம்', 'ஊரில்', 'போடும்', 'போது', 'அங்கு', 'இரண்டு', 'குழந்தைகள்', 'திவ்வி', 'ஹேமானு', 'இரண்டு', 'குழந்தைகள்', 'இந்த', 'அம்னி', 'போலவே', 'கொங்கு', 'தமிழ்', 'ல', 'போசுங்கள்', 'ஞாபகம்', 'வருகிறது']","['நாங்கள்', 'குண்டடம்', 'பகுதியில்', 'காற்றாலை', 'அமைக்கும்', 'கிரேன்ல', 'வேலை', 'பார்க்கும்', 'போது', 'இஸ்வரிசெட்டிபாளையம்', 'ஊரில்', 'போடும்', 'போது', 'அங்கு', 'இரண்டு', 'குழந்தைகள்', 'திவ்வி', 'ஹேமானு', 'இரண்டு', 'குழந்தைகள்', 'இந்த', 'அம்னி', 'போலவே', 'கொங்கு', 'தமிழ்', 'ல', 'போசுங்கள்', 'ஞாபகம்', 'வருகிறது']",நாங்கள் குண்டடம் பகுதியில் காற்றாலை அமைக்கும் கிரேன்ல வேலை பார்க்கும் போது இஸ்வரிசெட்டிபாளையம் ஊரில் போடும் போது அங்கு இரண்டு குழந்தைகள் திவ்வி ஹேமானு இரண்டு குழந்தைகள் இந்த அம்னி போலவே கொங்கு தமிழ் ல போசுங்கள் ஞாபகம் வருகிறது
முட்டபயல் சேனலே ஒரு பகுதிக்கு ஒரு சிலாங் இருக்கும் அந்த பெண் பேசுவதில் ஏண்டா தேன் ஒழுவதாடா முட்டாபயலெ,-1,"['முட்டபயல்', 'சேனலே', 'ஒரு', 'பகுதிக்கு', 'ஒரு', 'சிலாங்', 'இருக்கும்', 'அந்த', 'பெண்', 'பேசுவதில்', 'ஏண்டா', 'தேன்', 'ஒழுவதாடா', 'முட்டாபயலெ']","['முட்டபயல்', 'சேனலே', 'பகுதிக்கு', 'சிலாங்', 'இருக்கும்', 'அந்த', 'பெண்', 'பேசுவதில்', 'ஏண்டா', 'தேன்', 'ஒழுவதாடா', 'முட்டாபயலெ']",முட்டபயல் சேனலே பகுதிக்கு சிலாங் இருக்கும் அந்த பெண் பேசுவதில் ஏண்டா தேன் ஒழுவதாடா முட்டாபயலெ
இதெல்லாம் இப்போ நடைமுறையில் இல்லைபேசுரதான் இப்படி செயற்கைநடைமுறையில் இவர்கள் விவசாயம் செய்கிறவர்களை மதிக்கவே மாட்டாங்கநடைமுறையில் ஆங்கிலம்தான் பேசுவாங்க,-1,"['இதெல்லாம்', 'இப்போ', 'நடைமுறையில்', 'இல்லைபேசுரதான்', 'இப்படி', 'செயற்கைநடைமுறையில்', 'இவர்கள்', 'விவசாயம்', 'செய்கிறவர்களை', 'மதிக்கவே', 'மாட்டாங்கநடைமுறையில்', 'ஆங்கிலம்தான்', 'பேசுவாங்க']","['இதெல்லாம்', 'இப்போ', 'நடைமுறையில்', 'இல்லைபேசுரதான்', 'இப்படி', 'செயற்கைநடைமுறையில்', 'இவர்கள்', 'விவசாயம்', 'செய்கிறவர்களை', 'மதிக்கவே', 'மாட்டாங்கநடைமுறையில்', 'ஆங்கிலம்தான்', 'பேசுவாங்க']",இதெல்லாம் இப்போ நடைமுறையில் இல்லைபேசுரதான் இப்படி செயற்கைநடைமுறையில் இவர்கள் விவசாயம் செய்கிறவர்களை மதிக்கவே மாட்டாங்கநடைமுறையில் ஆங்கிலம்தான் பேசுவாங்க
எல்லாம் சரிதிருமணம் வேறே சாதிகூட,-1,"['எல்லாம்', 'சரிதிருமணம்', 'வேறே', 'சாதிகூட']","['எல்லாம்', 'சரிதிருமணம்', 'வேறே', 'சாதிகூட']",எல்லாம் சரிதிருமணம் வேறே சாதிகூட
சின்னஅமணி மறுக்க மறுக்க சொல்லுங்க,-1,"['சின்னஅமணி', 'மறுக்க', 'மறுக்க', 'சொல்லுங்க']","['சின்னஅமணி', 'மறுக்க', 'மறுக்க', 'சொல்லுங்க']",சின்னஅமணி மறுக்க மறுக்க சொல்லுங்க
சின்ன அம்மணி சங்கம் சார்பாக இந்த வீடியோ வெற்றிபெற வாழ்த்துக்கள்,1,"['சின்ன', 'அம்மணி', 'சங்கம்', 'சார்பாக', 'இந்த', 'வீடியோ', 'வெற்றிபெற', 'வாழ்த்துக்கள்']","['சின்ன', 'அம்மணி', 'சங்கம்', 'சார்பாக', 'இந்த', 'வீடியோ', 'வெற்றிபெற', 'வாழ்த்துக்கள்']",சின்ன அம்மணி சங்கம் சார்பாக இந்த வீடியோ வெற்றிபெற வாழ்த்துக்கள்
வெளிநாட்டுக்கு வார விருப்ங்களா,1,"['வெளிநாட்டுக்கு', 'வார', 'விருப்ங்களா']","['வெளிநாட்டுக்கு', 'வார', 'விருப்ங்களா']",வெளிநாட்டுக்கு வார விருப்ங்களா
டா தங்கம்,1,"['டா', 'தங்கம்']","['டா', 'தங்கம்']",டா தங்கம்
அருமையான பேச்சுங்கோ வாழ்த்துகிறேன்,1,"['அருமையான', 'பேச்சுங்கோ', 'வாழ்த்துகிறேன்']","['அருமையான', 'பேச்சுங்கோ', 'வாழ்த்துகிறேன்']",அருமையான பேச்சுங்கோ வாழ்த்துகிறேன்
அட அம்மிணி உன்ர கொங்கு தமிழ் கேக்கைல சந்தோசமா இருக்குதுங்க,-1,"['அட', 'அம்மிணி', 'உன்ர', 'கொங்கு', 'தமிழ்', 'கேக்கைல', 'சந்தோசமா', 'இருக்குதுங்க']","['அட', 'அம்மிணி', 'உன்ர', 'கொங்கு', 'தமிழ்', 'கேக்கைல', 'சந்தோசமா', 'இருக்குதுங்க']",அட அம்மிணி உன்ர கொங்கு தமிழ் கேக்கைல சந்தோசமா இருக்குதுங்க
சின்ன அம்மிணியின் கொங்கு தமிழ் பேசுறது அருமை தங்கச்சிக்கு வாழ்த்துகள்,1,"['சின்ன', 'அம்மிணியின்', 'கொங்கு', 'தமிழ்', 'பேசுறது', 'அருமை', 'தங்கச்சிக்கு', 'வாழ்த்துகள்']","['சின்ன', 'அம்மிணியின்', 'கொங்கு', 'தமிழ்', 'பேசுறது', 'அருமை', 'தங்கச்சிக்கு', 'வாழ்த்துகள்']",சின்ன அம்மிணியின் கொங்கு தமிழ் பேசுறது அருமை தங்கச்சிக்கு வாழ்த்துகள்
சூப்பர் கொங்கு தமிழச்சி அழகு தங்கம்,1,"['சூப்பர்', 'கொங்கு', 'தமிழச்சி', 'அழகு', 'தங்கம்']","['சூப்பர்', 'கொங்கு', 'தமிழச்சி', 'அழகு', 'தங்கம்']",சூப்பர் கொங்கு தமிழச்சி அழகு தங்கம்
தங்கச்சி அழகான குரல்,1,"['தங்கச்சி', 'அழகான', 'குரல்']","['தங்கச்சி', 'அழகான', 'குரல்']",தங்கச்சி அழகான குரல்
அருமை,0,['அருமை'],['அருமை'],அருமை
அருமை,0,['அருமை'],['அருமை'],அருமை
மிகவும் சிறப்பு,1,"['மிகவும்', 'சிறப்பு']","['மிகவும்', 'சிறப்பு']",மிகவும் சிறப்பு
எங்கள்தங்கங்களேஉங்கள்கொங்குதமிழுக்குவாழ்த்துக்கள்,-1,['எங்கள்தங்கங்களேஉங்கள்கொங்குதமிழுக்குவாழ்த்துக்கள்'],['எங்கள்தங்கங்களேஉங்கள்கொங்குதமிழுக்குவாழ்த்துக்கள்'],எங்கள்தங்கங்களேஉங்கள்கொங்குதமிழுக்குவாழ்த்துக்கள்
சின்ன அம்முனி பெரிய அம்முனி பொறவு பேட்டி வீடியோ எடுக்குற அண்ணாங்களுக்கும் வணக்கமுங்கநம்மூரு மேக்காலிங்கஇப்பல்லாம் நம்மூரு ஆருமே பேசறதிலிங்ககெராமத்துலருந்து பூரா டௌனு பக்கம் வந்துட்டாங்கஉங்க வீடியோ பாத்த பொரவுதா பாரதியார் சொன்ன இன்ப தேன் வந்து பாயுது காதினிலே ஞாபகத்துக்கு வருது வாழ்த்துக்கள்நன்றி,-1,"['சின்ன', 'அம்முனி', 'பெரிய', 'அம்முனி', 'பொறவு', 'பேட்டி', 'வீடியோ', 'எடுக்குற', 'அண்ணாங்களுக்கும்', 'வணக்கமுங்கநம்மூரு', 'மேக்காலிங்கஇப்பல்லாம்', 'நம்மூரு', 'ஆருமே', 'பேசறதிலிங்ககெராமத்துலருந்து', 'பூரா', 'டௌனு', 'பக்கம்', 'வந்துட்டாங்கஉங்க', 'வீடியோ', 'பாத்த', 'பொரவுதா', 'பாரதியார்', 'சொன்ன', 'இன்ப', 'தேன்', 'வந்து', 'பாயுது', 'காதினிலே', 'ஞாபகத்துக்கு', 'வருது', 'வாழ்த்துக்கள்நன்றி']","['சின்ன', 'அம்முனி', 'பெரிய', 'அம்முனி', 'பொறவு', 'பேட்டி', 'வீடியோ', 'எடுக்குற', 'அண்ணாங்களுக்கும்', 'வணக்கமுங்கநம்மூரு', 'மேக்காலிங்கஇப்பல்லாம்', 'நம்மூரு', 'ஆருமே', 'பேசறதிலிங்ககெராமத்துலருந்து', 'பூரா', 'டௌனு', 'பக்கம்', 'வந்துட்டாங்கஉங்க', 'வீடியோ', 'பாத்த', 'பொரவுதா', 'பாரதியார்', 'சொன்ன', 'இன்ப', 'தேன்', 'வந்து', 'பாயுது', 'காதினிலே', 'ஞாபகத்துக்கு', 'வருது', 'வாழ்த்துக்கள்நன்றி']",சின்ன அம்முனி பெரிய அம்முனி பொறவு பேட்டி வீடியோ எடுக்குற அண்ணாங்களுக்கும் வணக்கமுங்கநம்மூரு மேக்காலிங்கஇப்பல்லாம் நம்மூரு ஆருமே பேசறதிலிங்ககெராமத்துலருந்து பூரா டௌனு பக்கம் வந்துட்டாங்கஉங்க வீடியோ பாத்த பொரவுதா பாரதியார் சொன்ன இன்ப தேன் வந்து பாயுது காதினிலே ஞாபகத்துக்கு வருது வாழ்த்துக்கள்நன்றி
எங்கள் தமிழ் கொங்கு தமிழ்,1,"['எங்கள்', 'தமிழ்', 'கொங்கு', 'தமிழ்']","['எங்கள்', 'தமிழ்', 'கொங்கு', 'தமிழ்']",எங்கள் தமிழ் கொங்கு தமிழ்
இனிமை,1,['இனிமை'],['இனிமை'],இனிமை
அற்புதம் குரலை கேட்கும் போது தேன் வந்து காதில் பாய்கிறமாதிரி இனிமையாக இருக்கிறது,0,"['அற்புதம்', 'குரலை', 'கேட்கும்', 'போது', 'தேன்', 'வந்து', 'காதில்', 'பாய்கிறமாதிரி', 'இனிமையாக', 'இருக்கிறது']","['அற்புதம்', 'குரலை', 'கேட்கும்', 'போது', 'தேன்', 'வந்து', 'காதில்', 'பாய்கிறமாதிரி', 'இனிமையாக', 'இருக்கிறது']",அற்புதம் குரலை கேட்கும் போது தேன் வந்து காதில் பாய்கிறமாதிரி இனிமையாக இருக்கிறது
எனது தங்கையே நமது கொங்கு தமிழ் வாழ்க,1,"['எனது', 'தங்கையே', 'நமது', 'கொங்கு', 'தமிழ்', 'வாழ்க']","['எனது', 'தங்கையே', 'நமது', 'கொங்கு', 'தமிழ்', 'வாழ்க']",எனது தங்கையே நமது கொங்கு தமிழ் வாழ்க
வாழ்க கொங்கு தமிழ்,1,"['வாழ்க', 'கொங்கு', 'தமிழ்']","['வாழ்க', 'கொங்கு', 'தமிழ்']",வாழ்க கொங்கு தமிழ்
மிகவும் இனிமை,1,"['மிகவும்', 'இனிமை']","['மிகவும்', 'இனிமை']",மிகவும் இனிமை
தங்கச்சி கொங்குத் தமிழ் நல்லா இருக்கு ஆனா சாப்பிடல வானு சொல்லமாட்டாங்க சோறு உங்கலா வானு சொல்லுவாங்க,-1,"['தங்கச்சி', 'கொங்குத்', 'தமிழ்', 'நல்லா', 'இருக்கு', 'ஆனா', 'சாப்பிடல', 'வானு', 'சொல்லமாட்டாங்க', 'சோறு', 'உங்கலா', 'வானு', 'சொல்லுவாங்க']","['தங்கச்சி', 'கொங்குத்', 'தமிழ்', 'நல்லா', 'இருக்கு', 'ஆனா', 'சாப்பிடல', 'வானு', 'சொல்லமாட்டாங்க', 'சோறு', 'உங்கலா', 'வானு', 'சொல்லுவாங்க']",தங்கச்சி கொங்குத் தமிழ் நல்லா இருக்கு ஆனா சாப்பிடல வானு சொல்லமாட்டாங்க சோறு உங்கலா வானு சொல்லுவாங்க
நல்லது படிப்பில் கவனம் செலுத்த வேண்டும்,1,"['நல்லது', 'படிப்பில்', 'கவனம்', 'செலுத்த', 'வேண்டும்']","['நல்லது', 'படிப்பில்', 'கவனம்', 'செலுத்த', 'வேண்டும்']",நல்லது படிப்பில் கவனம் செலுத்த வேண்டும்
எவ்வளவு அழகாக தமிழ்,0,"['எவ்வளவு', 'அழகாக', 'தமிழ்']","['எவ்வளவு', 'அழகாக', 'தமிழ்']",எவ்வளவு அழகாக தமிழ்
சின்னம்மணி நீ சூப்பர் அப்பு,1,"['சின்னம்மணி', 'நீ', 'சூப்பர்', 'அப்பு']","['சின்னம்மணி', 'நீ', 'சூப்பர்', 'அப்பு']",சின்னம்மணி நீ சூப்பர் அப்பு
உன்னை மாதிரி மனைவி கிடைக்க கடவுள் வரம்,1,"['உன்னை', 'மாதிரி', 'மனைவி', 'கிடைக்க', 'கடவுள்', 'வரம்']","['உன்னை', 'மாதிரி', 'மனைவி', 'கிடைக்க', 'கடவுள்', 'வரம்']",உன்னை மாதிரி மனைவி கிடைக்க கடவுள் வரம்
நீங்கதானுங்ஒங்களபேட்டிஎடுக்கிறவர்பாவம்பைதியமாட்டம்சிரிச்சிகிட்டேஇருக்காருங்கஇங்கதானுங்ககொஞ்சம் மத்தபடி நீங்கசூப்பருங்க வாழ்,-1,"['நீங்கதானுங்ஒங்களபேட்டிஎடுக்கிறவர்பாவம்பைதியமாட்டம்சிரிச்சிகிட்டேஇருக்காருங்கஇங்கதானுங்ககொஞ்சம்', 'மத்தபடி', 'நீங்கசூப்பருங்க', 'வாழ்']","['நீங்கதானுங்ஒங்களபேட்டிஎடுக்கிறவர்பாவம்பைதியமாட்டம்சிரிச்சிகிட்டேஇருக்காருங்கஇங்கதானுங்ககொஞ்சம்', 'மத்தபடி', 'நீங்கசூப்பருங்க', 'வாழ்']",நீங்கதானுங்ஒங்களபேட்டிஎடுக்கிறவர்பாவம்பைதியமாட்டம்சிரிச்சிகிட்டேஇருக்காருங்கஇங்கதானுங்ககொஞ்சம் மத்தபடி நீங்கசூப்பருங்க வாழ்
அமுனி இல்லை அம்மணி,-1,"['அமுனி', 'இல்லை', 'அம்மணி']","['அமுனி', 'அம்மணி']",அமுனி அம்மணி
கொங்கு தமிழ் இனிமையான தமிழ் மரியாதையாக பேசும் தமிழ் கொங்கு தமிழ் பேசுபவர்களிடம் சண்டை வராது காரணம் கெட்ட வார்த்தைகள் பேசி யாரையும் மனம் புண்படுத்தமாட்டார்கள்,-1,"['கொங்கு', 'தமிழ்', 'இனிமையான', 'தமிழ்', 'மரியாதையாக', 'பேசும்', 'தமிழ்', 'கொங்கு', 'தமிழ்', 'பேசுபவர்களிடம்', 'சண்டை', 'வராது', 'காரணம்', 'கெட்ட', 'வார்த்தைகள்', 'பேசி', 'யாரையும்', 'மனம்', 'புண்படுத்தமாட்டார்கள்']","['கொங்கு', 'தமிழ்', 'இனிமையான', 'தமிழ்', 'மரியாதையாக', 'பேசும்', 'தமிழ்', 'கொங்கு', 'தமிழ்', 'பேசுபவர்களிடம்', 'சண்டை', 'வராது', 'காரணம்', 'கெட்ட', 'வார்த்தைகள்', 'பேசி', 'யாரையும்', 'மனம்', 'புண்படுத்தமாட்டார்கள்']",கொங்கு தமிழ் இனிமையான தமிழ் மரியாதையாக பேசும் தமிழ் கொங்கு தமிழ் பேசுபவர்களிடம் சண்டை வராது காரணம் கெட்ட வார்த்தைகள் பேசி யாரையும் மனம் புண்படுத்தமாட்டார்கள்
தமிழ் மொழி அருமை தெரியாது ஆங்கிலம் மோகம் பலருக்கும்,-1,"['தமிழ்', 'மொழி', 'அருமை', 'தெரியாது', 'ஆங்கிலம்', 'மோகம்', 'பலருக்கும்']","['தமிழ்', 'மொழி', 'அருமை', 'தெரியாது', 'ஆங்கிலம்', 'மோகம்', 'பலருக்கும்']",தமிழ் மொழி அருமை தெரியாது ஆங்கிலம் மோகம் பலருக்கும்
இனிமையான கொங்குத் தமிழில் ரசித்து கிருஷ்ணகிரியில்,1,"['இனிமையான', 'கொங்குத்', 'தமிழில்', 'ரசித்து', 'கிருஷ்ணகிரியில்']","['இனிமையான', 'கொங்குத்', 'தமிழில்', 'ரசித்து', 'கிருஷ்ணகிரியில்']",இனிமையான கொங்குத் தமிழில் ரசித்து கிருஷ்ணகிரியில்
கொங்கு தேர் வாழ்க்கை,1,"['கொங்கு', 'தேர்', 'வாழ்க்கை']","['கொங்கு', 'தேர்', 'வாழ்க்கை']",கொங்கு தேர் வாழ்க்கை
யோவ் போதிதர்மர் செட்டு உனக்கு சூர்யாவ புடிக்களன்னா நீ படம்பார்க்க போயிர்க்க கூடாது இவர் பெரிய மயிரு சூர்யா அண்ணாவோட ஆக்டிங் தப்பு சொல்றதுக்கு,-1,"['யோவ்', 'போதிதர்மர்', 'செட்டு', 'உனக்கு', 'சூர்யாவ', 'புடிக்களன்னா', 'நீ', 'படம்பார்க்க', 'போயிர்க்க', 'கூடாது', 'இவர்', 'பெரிய', 'மயிரு', 'சூர்யா', 'அண்ணாவோட', 'ஆக்டிங்', 'தப்பு', 'சொல்றதுக்கு']","['யோவ்', 'போதிதர்மர்', 'செட்டு', 'உனக்கு', 'சூர்யாவ', 'புடிக்களன்னா', 'நீ', 'படம்பார்க்க', 'போயிர்க்க', 'கூடாது', 'இவர்', 'பெரிய', 'மயிரு', 'சூர்யா', 'அண்ணாவோட', 'ஆக்டிங்', 'தப்பு', 'சொல்றதுக்கு']",யோவ் போதிதர்மர் செட்டு உனக்கு சூர்யாவ புடிக்களன்னா நீ படம்பார்க்க போயிர்க்க கூடாது இவர் பெரிய மயிரு சூர்யா அண்ணாவோட ஆக்டிங் தப்பு சொல்றதுக்கு
இவன் தீவிர ரஜினி ரசிகன்,0,"['இவன்', 'தீவிர', 'ரஜினி', 'ரசிகன்']","['இவன்', 'தீவிர', 'ரஜினி', 'ரசிகன்']",இவன் தீவிர ரஜினி ரசிகன்
